Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,eng_line_ratio,eng_word_ratio,avg_rank,months_on_chart,company,gender
Shinhwa,0jVvkFPa6YbFXQ3Qmhita0,The Snowy Night,3Ddkqe4FMRiNlbz5ktiobz,0.703,0.805,1.0,-4.927,1.0,0.0343,0.232,0.0,0.342,0.865,125.961,246022.0,4.0,0.1194029850746268,0.0978723404255319,50.0,1,SM| Good| Shinhwa,Male
Shinhwa,0jVvkFPa6YbFXQ3Qmhita0,"Hey, Dude!",5MK2iVrEQdLDQJIZYMbUlh,0.703,0.862,8.0,-8.247,1.0,0.0712,0.185,2.57e-05,0.0934,0.83,98.04,215681.0,4.0,0.063063063063063,0.1231884057971014,50.0,1,SM| Good| Shinhwa,Male
god,1nTCpd63NkuGGpCIbo4Ywl,A Funny But Sad Day,4DI4p7CW9yNyC6ekp4sdV0,0.604,0.787,1.0,-4.617,1.0,0.0377,0.527,0.0,0.126,0.646,78.035,248587.0,4.0,0.0289855072463768,0.0222222222222222,50.0,1,Unknown,Unknown
god,1nTCpd63NkuGGpCIbo4Ywl,Wind,28Qqh33f72cf6jFBxz7CFZ,0.621,0.682,0.0,-4.983,1.0,0.0304,0.126,0.0,0.117,0.284,129.948,245633.0,4.0,0.0,0.0,50.0,2,Unknown,Unknown
MBLAQ,14f1WN9TUDVBK4sHUStmLG,Mona Lisa,5FPaK0UNFA124uvUMJgIFE,0.658,0.863,11.0,-4.96,0.0,0.0651,0.0535,0.0,0.399,0.797,127.04,221532.0,4.0,0.4482758620689655,0.5369649805447471,35.666666666666664,3,J. Tune,Male
MBLAQ,14f1WN9TUDVBK4sHUStmLG,Oh Yeah,6ZiUqGTo40Xl0DqePb3eZd,0.8,0.753,7.0,-6.688,1.0,0.159,0.0837,1.34e-06,0.0831,0.566,119.984,209229.0,4.0,0.6470588235294118,0.5859649122807018,44.25,4,J. Tune,Male
BoA,4muJrGMndyYWqZtfk8OWy4,No Matter What,0Yc2gPL8g9P6FUEFXhtI3q,0.666,0.793,1.0,-4.103,1.0,0.0666,0.353,0.0,0.0636,0.678,125.032,185991.0,4.0,0.0,0.0,36.66666666666666,3,Unknown,Unknown
BoA,4muJrGMndyYWqZtfk8OWy4,No Matter What,0Yc2gPL8g9P6FUEFXhtI3q,0.666,0.793,1.0,-4.103,1.0,0.0666,0.353,0.0,0.0636,0.678,125.032,185991.0,4.0,0.3684210526315789,0.4731182795698925,48.5,2,,Female
BoA,4muJrGMndyYWqZtfk8OWy4,Disturbance,5PlY7G0GELK3as0Ch74IXf,0.73,0.817,2.0,-4.92,1.0,0.0559,0.0699,3.5e-05,0.351,0.653,100.019,197091.0,4.0,0.0,0.0,20.5,2,,Female
BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,FLOWER ROAD,5tmKSkKHNVrxh4Fctj2TdS,0.71,0.654,1.0,-4.765,0.0,0.0858,0.124,0.0,0.15,0.624,94.862,228632.0,4.0,0.0634920634920634,0.0505415162454873,28.285714285714285,7,YG,Male
